Timestamp,Settlement Point Name,Hourly Average Price
2010-12-04 18:00:00,HB_HUBAVG,36.31
2010-12-04 19:00:00,HB_BUSAVG,30.4925
2010-12-04 19:00:00,HB_HUBAVG,30.4925
2010-12-04 20:00:00,HB_BUSAVG,27.9625
2010-12-04 20:00:00,HB_HUBAVG,27.9625
2010-12-04 21:00:00,HB_BUSAVG,24.6425
2010-12-04 21:00:00,HB_HUBAVG,24.6425
2010-12-04 22:00:00,HB_BUSAVG,22.3925
2010-12-04 22:00:00,HB_HUBAVG,22.3925
2010-12-04 23:00:00,HB_BUSAVG,19.4825
2010-12-04 23:00:00,HB_HUBAVG,19.0075
2010-12-05 00:00:00,HB_BUSAVG,18.61
2010-12-05 00:00:00,HB_HUBAVG,16.105
2010-12-05 01:00:00,HB_BUSAVG,19.57
2010-12-05 01:00:00,HB_HUBAVG,18.94
2010-12-05 02:00:00,HB_BUSAVG,20.3225
2010-12-05 02:00:00,HB_HUBAVG,20.3225
2010-12-05 03:00:00,HB_BUSAVG,21.0375
2010-12-05 03:00:00,HB_HUBAVG,21.0375
2010-12-05 04:00:00,HB_BUSAVG,25.4375
2010-12-05 04:00:00,HB_HUBAVG,25.4375
2010-12-05 05:00:00,HB_BUSAVG,35.879999999999995
2010-12-05 05:00:00,HB_HUBAVG,35.879999999999995
2010-12-05 06:00:00,HB_BUSAVG,37.3325
2010-12-05 06:00:00,HB_HUBAVG,37.3325
2010-12-05 07:00:00,HB_BUSAVG,35.445
2010-12-05 07:00:00,HB_HUBAVG,35.445
2010-12-05 08:00:00,HB_BUSAVG,77.50999999999999
2010-12-05 08:00:00,HB_HUBAVG,77.50999999999999
2010-12-05 09:00:00,HB_BUSAVG,43.455
2010-12-05 09:00:00,HB_HUBAVG,43.455
2010-12-05 10:00:00,HB_BUSAVG,44.175
2010-12-05 10:00:00,HB_HUBAVG,44.175
2010-12-05 11:00:00,HB_BUSAVG,42.4
2010-12-05 11:00:00,HB_HUBAVG,42.34
2010-12-05 12:00:00,HB_BUSAVG,33.22
2010-12-05 12:00:00,HB_HUBAVG,33.22
2010-12-05 13:00:00,HB_BUSAVG,28.865000000000002
2010-12-05 13:00:00,HB_HUBAVG,28.567500000000003
2010-12-05 14:00:00,HB_BUSAVG,28.744999999999997
2010-12-05 14:00:00,HB_HUBAVG,28.689999999999998
2010-12-05 15:00:00,HB_BUSAVG,27.6575
2010-12-05 15:00:00,HB_HUBAVG,27.6575
2010-12-05 16:00:00,HB_BUSAVG,28.1525
2010-12-05 16:00:00,HB_HUBAVG,28.1525
2010-12-05 17:00:00,HB_BUSAVG,62.835
2010-12-05 17:00:00,HB_HUBAVG,62.835
2010-12-05 18:00:00,HB_BUSAVG,46.535
